name,ratings_average,ratings_count
Cabernet Sauvignon,4.6,157944
Brut Champagne,4.6,146377
Tignanello,4.5,142513
Sassicaia,4.6,107646
60 Sessantanni Old Vines Primitivo di Manduria,4.5,94289
Costasera Amarone della Valpolicella Classico,4.3,93397
ARTEMIS Cabernet Sauvignon,4.4,81351
Amarone della Valpolicella Classico,4.3,77515
Opus One,4.6,77053
Pauillac (Premier Grand Cru Classé),4.6,73615
Valbuena 5º,4.6,72784
Ribera del Duero,4.5,69278
Tinto,4.4,65625
Toro,4.4,60705
Pauillac (Grand Cru Classé),4.4,55808
Le Serre Nuove,4.3,50411
Amarone della Valpolicella Classico,4.4,48329
Almaviva,4.6,48075
Bolgheri Superiore,4.6,47939
Malbec Argentino,4.4,47435
