wine_name,matching_keywords,matching_groups,matched_keyword_count
Belle Epoque Brut Champagne,"green apple,toast,coffee,citrus,cream","tree_fruit,non_oak,citrus_fruit,microbio,oak",5
Blanc des Millénaires,"toast,coffee,cream,citrus,green apple","non_oak,oak,microbio,citrus_fruit,tree_fruit",5
Brut Champagne,"toast,coffee,cream,green apple,citrus","non_oak,microbio,oak,tree_fruit,citrus_fruit",5
Comtes de Champagne Blanc de Blancs,"toast,coffee,cream,citrus,green apple","non_oak,microbio,oak,citrus_fruit,tree_fruit",5
Cristal Brut Champagne (Millésimé),"toast,coffee,green apple,citrus,cream","non_oak,tree_fruit,citrus_fruit,oak,microbio",5
Cuvée des Enchanteleurs Brut Champagne,"toast,coffee,cream,green apple,citrus","non_oak,oak,microbio,tree_fruit,citrus_fruit",5
Dom Ruinart Blanc de Blancs Brut Champagne,"toast,coffee,cream,green apple,citrus","non_oak,microbio,oak,tree_fruit,citrus_fruit",5
Grande Cuvée,"toast,coffee,cream,citrus,green apple","non_oak,oak,microbio,citrus_fruit,tree_fruit",5
La Grande Année Brut Champagne,"toast,coffee,cream,green apple,citrus","non_oak,oak,microbio,tree_fruit,citrus_fruit",5
La Grande Dame Brut Champagne,"toast,coffee,green apple,cream,citrus","non_oak,oak,tree_fruit,microbio,citrus_fruit",5
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,"citrus,toast,coffee,cream,green apple","citrus_fruit,non_oak,oak,microbio,tree_fruit",5
P2 Plénitude Brut Champagne,"toast,coffee,cream,green apple,citrus","non_oak,oak,microbio,tree_fruit,citrus_fruit",5
R.D Extra Brut Champagne (Récemment Dégorgé),"toast,coffee,cream,green apple,citrus","non_oak,oak,microbio,tree_fruit,citrus_fruit",5
Sauternes,"green apple,coffee,toast,citrus,cream","tree_fruit,oak,non_oak,citrus_fruit,microbio",5
Sir Winston Churchill Brut Champagne,"toast,coffee,cream,green apple,citrus","non_oak,oak,microbio,tree_fruit,citrus_fruit",5
Trebbiano d'Abruzzo,"coffee,green apple,citrus,toast,cream","oak,tree_fruit,citrus_fruit,non_oak,microbio",5
Vintage,"toast,coffee,cream,green apple,citrus","non_oak,oak,microbio,tree_fruit,citrus_fruit",5
'Giulio Ferrari' Riserva del Fondatore,"cream,toast,green apple,citrus","microbio,non_oak,tree_fruit,citrus_fruit",4
5 Puttonyos Aszú (Blue Label),"green apple,citrus,toast,cream","tree_fruit,citrus_fruit,non_oak,microbio",4
Amarone della Valpolicella Classico,"coffee,toast,cream,citrus","oak,non_oak,microbio,citrus_fruit",4
Amour de Deutz Millésimé Brut Champagne,"toast,cream,citrus,green apple","non_oak,microbio,citrus_fruit,tree_fruit",4
Avizoise Blanc de Blancs Extra Brut Champagne Grand Cru 'Avize',"cream,toast,green apple,citrus","microbio,non_oak,tree_fruit,citrus_fruit",4
Belondrade y Lurton,"green apple,cream,toast,citrus","tree_fruit,microbio,non_oak,citrus_fruit",4
